Size;Rooms;BathRooms;Price
85;2;1;195000
85;2;1;195000
85;2;1;195000
85;2;1;195000
85;2;1;195000
85;2;1;197000
85;2;1;198000
85;2;1;198000
85;2;1;200000
85;2;1;200000
85;2;1;200000
85;2;1;200000
85;2;1;200000
85;2;2;200000
85;2;1;202500
85;2;1;205000
85;2;1;205000
85;2;1;205000
85;2;1;205000
85;2;1;207000
85;2;1;208000
85;2;1;208000
85;2;1;210000
85;2;2;210000
85;2;1;210000
85;2;1;210000
85;2;1;210000
85;2;1;210000
85;2;1;210000
85;2;1;210000
85;2;2;213000
85;2;1;213000
85;2;1;213000
85;2;2;213000
85;2;1;214000
85;2;1;215000
85;2;1;215000
85;2;1;215000
85;2;1;218000
85;2;1;218000
85;2;1;219500
85;2;1;220000
85;2;1;220000
85;2;1;224000
85;2;1;225000
85;2;1;225000
85;2;1;225000
85;2;1;225000
85;2;1;225000
85;2;1;225000
85;2;1;225000
85;2;1;225000
85;2;1;225000
85;2;1;225000
85;2;1;228000
85;2;1;228000
85;2;1;228000
85;2;1;229000
85;2;1;230000
85;2;1;230000
85;2;1;230000
85;2;1;232000
85;2;1;232000
85;2;2;233000
85;2;1;235000
85;2;1;235000
85;2;1;235000
85;2;1;235000
85;2;1;235000
85;2;1;235000
85;2;1;235000
85;2;1;235000
85;2;1;235000
85;2;1;235000
85;2;1;235000
85;2;1;236000
85;2;1;237000
85;2;1;238000
85;2;1;238000
85;2;2;239000
85;2;1;240000
85;2;1;240000
85;2;1;240000
85;2;2;240000
85;2;1;240000
85;2;1;245000
85;2;1;245000
85;2;1;245000
85;2;1;245000
85;2;1;245000
85;2;1;245000
85;2;1;245000
85;2;1;248000
85;2;1;249000
85;2;1;249000
85;2;1;250000
85;2;1;250000
85;2;1;250000
85;2;1;250000
85;2;1;250000
85;2;1;250000
85;2;1;250000
85;2;1;252000
85;2;1;254500
85;2;1;255000
85;2;1;255000
85;2;1;255000
85;2;1;255000
85;2;1;255000
85;2;1;255000
85;2;1;255000
85;2;1;255000
85;2;1;255000
86;2;1;199000
87;2;1;198000
87;2;1;200000
87;2;1;205000
87;2;1;225000
87;2;1;225000
87;2;1;230000
87;2;1;235000
87;2;1;247500
87;2;1;248500
88;2;1;177000
88;2;1;180000
88;2;2;206000
88;2;2;225000
88;2;1;255000
88;2;1;260000
89;2;1;180000
89;2;1;190000
89;2;1;190000
89;2;2;193000
89;2;1;195000
89;2;1;199000
89;2;1;199000
89;2;1;200000
89;2;2;205000
89;2;1;209000
89;2;1;210000
89;2;1;210000
89;2;2;210000
89;2;1;210000
89;2;1;220000
89;2;1;220000
89;2;1;226000
89;2;1;230000
89;2;1;230000
89;2;1;230000
89;2;1;230000
89;1;1;238000
89;2;2;238000
89;2;1;238000
89;2;1;238000
89;2;1;241000
89;2;2;250000
89;2;1;250000
89;2;2;250000
89;1;1;250000
89;2;1;250000
89;2;1;255000
89;2;2;255000
89;2;1;255000
89;2;1;257000
89;2;1;260000
89;2;1;265000
90;2;1;180000
90;2;1;180000
90;2;1;182000
90;2;1;185000
90;2;1;185000
90;3;2;185000
90;2;1;185000
90;2;1;185000
90;2;1;185000
90;3;1;187500
90;2;2;189000
90;2;1;189000
90;2;2;189000
90;2;1;189000
90;2;1;190000
90;2;1;190000
90;2;1;190000
90;2;1;190000
90;2;2;190000
90;2;1;190000
90;2;1;190000
90;2;1;190000
90;2;1;194000
90;2;2;195000
90;2;1;195000
90;2;2;195000
90;2;1;197000
90;2;1;199000
90;2;1;199900
90;2;2;200000
90;2;1;200000
90;2;1;200000
90;2;1;200000
90;2;1;200000
90;2;1;200000
90;2;1;200000
90;3;1;202000
90;2;1;204900
90;2;2;205000
90;2;1;205000
90;2;1;205000
90;2;2;206000
90;2;1;209000
90;2;1;210000
90;2;1;210000
90;2;2;210000
90;2;1;210000
90;2;1;215000
90;2;1;215000
90;2;1;215000
90;2;1;215000
90;2;1;215000
90;2;1;215000
90;2;1;215000
90;2;2;215000
90;2;1;220000
90;2;1;220000
90;2;1;220000
90;2;1;220000
90;2;2;220000
90;2;1;220000
90;2;1;220000
90;2;1;220000
90;2;1;220000
90;2;1;222000
90;2;1;225000
90;2;1;225000
90;2;1;225000
90;2;1;225000
90;2;1;225000
90;2;1;225000
90;2;1;225000
90;2;1;225000
90;2;1;225000
90;2;1;225000
90;2;1;225000
90;1;1;225000
90;2;1;225000
90;2;1;225000
90;2;2;225000
90;2;1;227000
90;2;1;229000
90;2;2;229000
90;2;2;229000
90;2;1;230000
90;2;1;230000
90;2;1;230000
90;2;1;230000
90;2;1;235000
90;2;2;235000
90;2;1;235000
90;2;1;235000
90;2;2;235000
90;1;1;235000
90;2;2;235000
90;2;1;235000
90;2;1;235000
90;2;1;236000
90;2;2;238000
90;2;2;238000
90;2;1;238000
90;2;1;238000
90;2;1;239999
90;2;2;240000
90;2;1;240000
90;2;1;240000
90;2;1;240000
90;2;1;240000
90;2;1;240000
90;2;1;240000
90;2;2;240000
90;2;1;244500
90;2;2;245000
90;2;1;245000
90;2;1;245000
90;2;1;245000
90;2;1;245000
90;3;1;248000
90;2;1;249000
90;2;2;250000
90;2;1;250000
90;2;1;250000
90;2;1;250000
90;2;1;250000
90;2;1;255000
90;2;1;255000
90;2;1;255000
90;2;1;255000
90;2;1;255000
90;2;1;255000
90;2;1;255000
90;2;1;255000
90;2;1;258000
90;2;1;259000
90;2;1;260000
90;2;1;260000
90;2;2;260000
90;2;1;260000
90;2;1;260000
90;2;1;260000
90;2;1;264000
90;2;1;265000
90;2;1;265000
90;2;1;265000
90;2;1;265000
90;2;1;265000
90;2;1;265000
90;2;1;265000
90;2;1;265000
90;2;2;268000
90;2;2;269000
90;2;1;269000
90;2;1;270000
90;2;1;270000
90;2;1;270000
90;2;1;270000
90;2;1;270000
90;2;1;270000
90;2;1;270000
90;2;2;270000
90;2;1;270000
90;2;1;270000
90;2;1;270000
90;2;1;270000
92;2;2;210000
92;2;1;210000
92;2;1;248000
92;2;1;249000
93;2;1;258000
94;2;1;189000
94;2;1;199000
94;2;1;199500
94;2;1;224999
94;2;1;235000
94;2;2;235000
94;2;1;240000
94;2;1;240000
94;2;1;240000
94;2;2;250000
94;2;1;255000
94;2;1;270000
94;2;1;275000
94;2;1;275000
94;2;1;280000
95;2;1;190000
95;2;1;195000
95;2;1;195000
95;2;1;198000
95;3;1;198000
95;2;1;199000
95;3;1;200000
95;2;1;200000
95;2;1;200000
95;3;1;200000
95;2;1;200000
95;2;1;205000
95;2;1;205000
95;2;1;205000
95;3;1;205000
95;2;1;205000
95;2;1;205000
95;2;1;209000
95;2;1;210000
95;2;1;210000
95;2;1;210000
